Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,0.045652,-0.01564,0.078635,0,0,0,0.14677,0.00021437,2.6116E-07,-1.2765E-07,0.00021725,-4.3704E-06,4.9494E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/pelvis.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/pelvis.STL,,pelvis-1,Origin_global <pelvis-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_clamp,0.043299,-0.010259,0.0055623,0,0,0,0.048224,2.0451E-05,4.3281E-08,3.9112E-07,1.5296E-05,1.4602E-07,2.2881E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_hip_clamp.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_hip_clamp.STL,,left_hip_clamp-1,Origin_l_hip_z,Axis_l_hip_z,l_hip_z,revolute,0.070848,-2.5108E-05,0.022508,0,0,-0.00035439,pelvis,0,1,0,1.17,8,-0.523598775598,0.497418836818,,,,,,,,
left_hip,0.0078522,-0.03495,-8.9561E-05,0,0,0,0.050945,2.6912E-05,-4.5538E-06,-1.1119E-07,1.8925E-05,-1.1284E-07,2.8214E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_hip.STL,,left_hip-1,Origin_l_hip_y,Axis_l_hip_y,l_hip_y,revolute,0.04963,-0.019548,0.00013569,1.5708,-0.0027341,0.00035439,left_hip_clamp,0,1,0,1.17,8,-0.436332312999,1.57079632679,,,,,,,,
left_thigh,-0.0044252,-0.088607,0.00011125,0,0,0,0.051871,0.00013801,-2.0243E-05,3.1231E-09,3.3032E-05,3.7526E-08,0.00015531,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_thigh.STL,,left_thigh-1,Origin_l_hip_x,Axis_l_hip_x,l_hip_x,revolute,0.00012017,-0.045723,0.010081,0,0,0.0026282,left_hip,1,0,0,1.17,8,-1.81514242207,1.46607657168,,,,,,,,
left_shin,-0.015221,-0.059782,-0.00033796,0,0,0,0.1032,8.8877E-05,1.4139E-07,5.9253E-09,2.4534E-05,-1.0795E-06,9.4679E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_shin.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_shin.STL,,left_shin-1,Origin_l_knee_x,Axis_l_knee_x,l_knee_x,revolute,0,-0.17729,9.8422E-05,-1.5467E-05,0.0057687,0,left_thigh,1,0,0,2.4,8,-0.0610865238198,2.33874119767,,,,,,,,
left_foot,-0.014948,-0.010071,-0.027578,0,0,0,0.026606,3.6541E-05,1.768E-07,5.1125E-08,1.6813E-05,-1.7946E-06,4.4349E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_foot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_foot.STL,,left_foot-1,Origin_l_ankle_x,Axis_l_ankle_x,l_ankle_x,revolute,0,-0.11858,0,-1.5795,-0.0068625,0,left_shin,1,0,0,2.4,8,-0.7854,0.7854,,,,,,,,
right_hip_clamp,-0.043382,-0.010294,0.005577,0,0,0,0.048222,2.0448E-05,-1.047E-08,-4.192E-07,1.5302E-05,2.0228E-07,2.2873E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_hip_clamp.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_hip_clamp.STL,,right_hip_clamp-1,Origin_r_hip_z,Axis_r_hip_z,r_hip_z,revolute,0.020771,0,0.022546,0,0,-0.0003412,pelvis,0,1,0,1.17,8,-0.497418836818,0.523598775598,,,,,,,,
right_hip,-0.0077495,-0.034862,0.0003029,0,0,0,0.050932,2.6829E-05,4.5493E-06,9.2044E-08,1.8891E-05,-6.3259E-08,2.8109E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_hip.STL,,right_hip-1,Origin_r_hip_y,Axis_r_hip_y,r_hip_y,revolute,-0.049775,-0.019616,9.8421E-05,1.5708,0.0019773,0.0003412,right_hip_clamp,0,1,0,1.17,8,-1.57079632679,0.436332312999,,,,,,,,
right_thigh,0.0056355,-0.088585,-0.00011435,0,0,0,0.051875,0.00013787,2.0114E-05,6.5832E-09,3.3011E-05,-5.0613E-08,0.00015515,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_thigh.STL,,right_thigh-1,Origin_r_hip_x,Axis_r_hip_x,r_hip_x,revolute,0,-0.045528,0.010615,0,0,0.00010208,right_hip,1,0,0,1.17,8,-1.4835298642,1.83259571459,,,,,,,,
right_shin,0.015852,-0.05987,-0.0002211,0,0,0,0.1032,8.8881E-05,1.4142E-07,4.0399E-08,2.4538E-05,-1.1123E-06,9.4679E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_shin.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_shin.STL,,right_shin-1,Origin_r_knee_x,Axis_r_knee_x,r_knee_x,revolute,0,-0.17719,-0.00010229,0,0.0014486,0,right_thigh,1,0,0,2.4,8,-2.3387,0.061087,,,,,,,,
right_foot,0.016517,-0.01009,-0.027461,0,0,0,0.026581,3.6545E-05,2.2146E-07,9.3122E-08,1.6672E-05,-1.81E-06,4.4239E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_foot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/right_foot.STL,,right_foot-1,Origin_r_ankle_x,Axis_r_ankle_x,r_ankle_x,revolute,0,-0.11872,3.8579E-05,-1.5795,-2.273E-05,0,right_shin,1,0,0,2.4,8,-0.785398163397,0.785398163397,,,,,,,,
chest,-0.00013113,-0.020708,0.040218,0,0,0,0.15227,8.0681E-05,1.5901E-07,-3.1718E-10,0.00014786,3.6363E-07,0.00016434,0,0,0,0,0,0,package://LillyHumanoid/meshes/chest.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/chest.STL,,chest-1,Origin_chest_z,Axis_chest_z,chest_z,revolute,0.045369,0,0.1672,0,0.0022675,1.5603E-05,pelvis,0,1,0,1.17,8,-0.698131700798,0.698131700798,,,,,,,,
neck,0.005936,0.0002982,0.030119,0,0,0,0.041438,1.0512E-05,1.0017E-08,-4.6372E-09,1.3981E-05,-1.6307E-08,7.7481E-06,0,0,0,0,0,0,package://LillyHumanoid/meshes/neck.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/neck.STL,,neck-1,Origin_head_y,Axis_head_y,head_y,revolute,-0.0002494,-0.034862,0.071988,0,-0.0015183,-0.00025836,chest,0,0,1,1.17,8,-1.57079632679,1.57079632679,,,,,,,,
head,-0.0035377,0.051002,0.031726,0,0,0,0.14186,0.00040198,1.047E-06,2.3481E-06,0.00044969,2.8409E-05,0.00039887,0,0,0,0,0,0,package://LillyHumanoid/meshes/head.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/head.STL,,head-1,Origin_head_x,Axis_head_x,head_x,revolute,0,0.0003717,0.041156,1.5708,0,0.0005002,neck,1,0,0,1.17,8,-0.785398163397,0.10471975512,,,,,,,,
left_shoulder,0.020961,5.9981E-05,0.0022865,0,0,0,0.01385,8.7122E-06,-2.6893E-08,6.0004E-09,1.0131E-05,4.0781E-08,4.686E-06,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_shoulder.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_shoulder.STL,,left_shoulder-1,Origin_l_shoulder_x,Axis_l_shoulder_x,l_shoulder_x,revolute,0.082735,-0.027777,0.040214,-0.0084844,0.0013988,0,chest,1,0,0,1.17,8,-2.09439510239,2.70526034059,,,,,,,,
left_shoulder_clamp,-6.4384E-05,-0.0020733,-0.01098,0,0,0,0.041384,1.3915E-05,-4.0313E-09,-1.6192E-08,1.045E-05,1.0146E-08,7.7279E-06,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_shoulder_clamp.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_shoulder_clamp.STL,,left_shoulder_upper_arm_clamp-1,Origin_l_shoulder_y,Axis_l_shoulder_y,l_shoulder_y,revolute,0.041564,-4.9236E-05,0,-1.5708,-0.0017598,1.5789,left_shoulder,0,-1,0,1.17,8,-1.8326,1.9199,,,,,,,,
left_upper_arm,0.0097904,-0.0033851,-0.042725,0,0,0,0.076983,1.7755E-05,-5.6345E-08,3.0794E-08,2.5629E-05,3.7346E-07,2.2025E-05,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_upper_arm.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://LillyHumanoid/meshes/left_upper_arm.STL,,left_upper_arm-1,Origin_l_arm_x,Axis_l_arm_x,l_arm_x,revolute,-0.00034293,0.003898,-0.040465,0.0046444,0,3.1348,left_shoulder_clamp,0,0,1,1.17,8,-1.8326,1.8326,,,,,,,,
